VANID	External ID	External ID Type 	
100812523	http://www.linkedin.com/in/kin-yang-30045512	LinkedIn URL	
100813298	http://www.linkedin.com/in/jeanne-doyle-61a84810	LinkedIn URL	
100813304	http://www.linkedin.com/in/madeline-harris-647b686	LinkedIn URL	
100814845	http://www.linkedin.com/in/kevinlau2	LinkedIn URL	
100814999	http://www.linkedin.com/in/drewharman	LinkedIn URL	
100815311	http://www.linkedin.com/in/lang-wang-80311a11	LinkedIn URL	
100815636	http://www.linkedin.com/in/alice-leung-02377824	LinkedIn URL	
100815673	http://www.linkedin.com/in/jlrondilla	LinkedIn URL	
100815758	http://www.linkedin.com/in/annie-huang-2b332644	LinkedIn URL	
100815807	http://www.linkedin.com/in/elizabeth-wong-09847320	LinkedIn URL	
100816823	http://www.linkedin.com/in/natrosenblatt	LinkedIn URL	
100817780	http://www.linkedin.com/in/colleenmwilson	LinkedIn URL	
100818208	http://www.linkedin.com/in/nelson-ng-b0240b26	LinkedIn URL	
100818208	http://www.github.com/nelsonng	GitHub	
100818525	http://www.linkedin.com/in/joseph-mejorada-37a72124	LinkedIn URL	
100818640	http://www.linkedin.com/in/samanthamastrategicmarketing	LinkedIn URL	
100819277	http://www.linkedin.com/in/stuartloh	LinkedIn URL	
100819799	http://www.twitter.com/ryanashcraft	Twitter Handle	ryanashcraft
100819799	http://www.github.com/ryanashcraft	GitHub	
100820392	http://www.linkedin.com/in/jason-dong-a092393a	LinkedIn URL	
100820652	http://www.twitter.com/steve12345f	Twitter Handle	steve12345f
100820652	http://www.linkedin.com/in/stvtang1	LinkedIn URL	
100820652	http://www.github.com/steve12345f	GitHub	
100820661	http://www.linkedin.com/in/harry-adams-b44903a	LinkedIn URL	
100821624	http://www.linkedin.com/in/gordon-wong-5889a038	LinkedIn URL	
100821624	http://www.github.com/gowong	GitHub	
100821992	http://www.linkedin.com/in/shannonjin	LinkedIn URL	
100822096	http://www.twitter.com/vitalyg	Twitter Handle	vitalyg
100822096	http://www.linkedin.com/in/vitalyg	LinkedIn URL	
100822096	http://www.github.com/vitalygolomb	GitHub	
100822999	http://www.linkedin.com/in/rothsam	LinkedIn URL	
100823360	http://www.linkedin.com/in/wesley-hsu-b37744	LinkedIn URL	
100823397	http://www.linkedin.com/in/paulreplicon	LinkedIn URL	
100823541	http://www.linkedin.com/in/david-tiao-077960b	LinkedIn URL	
100824513	http://www.twitter.com/eddieberklee	Twitter Handle	eddieberklee
100824513	http://www.linkedin.com/in/eddieberklee	LinkedIn URL	
100824513	http://www.github.com/eddieberklee	GitHub	
100824764	http://www.twitter.com/snarik	Twitter Handle	snarik
100824764	http://www.github.com/snarik	GitHub	
100824783	http://www.twitter.com/webbernet	Twitter Handle	webbernet
100824783	http://www.linkedin.com/in/frank-leng-6a495a13	LinkedIn URL	
100824783	http://www.github.com/fleng-trulia	GitHub	
100824784	http://www.twitter.com/evancdrake	Twitter Handle	evancdrake
100824784	http://www.linkedin.com/in/evancdrake	LinkedIn URL	
100824784	http://www.github.com/evandrake	GitHub	
100825959	http://www.twitter.com/niivalue	Twitter Handle	niivalue
100825959	http://www.linkedin.com/in/whitnlai	LinkedIn URL	
100825959	http://www.github.com/whitlai	GitHub	
100825990	http://www.linkedin.com/in/sylvia-erickson-2bb6897	LinkedIn URL	
100827323	http://www.linkedin.com/in/jamiey80	LinkedIn URL	
100827354	http://www.twitter.com/bduffy898	Twitter Handle	bduffy898
100827354	http://www.linkedin.com/in/britneyduffy	LinkedIn URL	
100827574	http://www.github.com/endopol	GitHub	
100827676	http://www.linkedin.com/in/jennifer-jacoby-yeh-1238b26	LinkedIn URL	
100829351	http://www.twitter.com/juli_sabaler0	Twitter Handle	juli_sabaler0
100829351	http://www.linkedin.com/in/juliapopowitz	LinkedIn URL	
100829415	http://www.linkedin.com/in/ericanthonyfleming	LinkedIn URL	
100830524	http://www.linkedin.com/in/brian-barlow-47071b6	LinkedIn URL	
100831928	http://www.twitter.com/geegeex7	Twitter Handle	geegeex7
100831928	http://www.linkedin.com/in/garethpierce	LinkedIn URL	
100831988	http://www.twitter.com/jam3slu	Twitter Handle	jam3slu
100831988	http://www.linkedin.com/in/jameslu	LinkedIn URL	
100832107	http://www.linkedin.com/in/rychun	LinkedIn URL	
100834401	http://www.linkedin.com/in/julia-mensing-0ab4aa13	LinkedIn URL	
100834608	http://www.twitter.com/ilovewayne17	Twitter Handle	ilovewayne17
100834608	http://www.linkedin.com/in/wayne-chang-7b88158	LinkedIn URL	
100834680	http://www.linkedin.com/in/rocky-mai-38592223	LinkedIn URL	
100834816	http://www.twitter.com/sophia_tseng	Twitter Handle	sophia_tseng
100834816	http://www.linkedin.com/in/sophiatseng	LinkedIn URL	
100835158	http://www.linkedin.com/in/jolynnchowmiller	LinkedIn URL	
100835723	http://www.linkedin.com/in/leif-estes-7887467	LinkedIn URL	
100836063	http://www.github.com/lenadros	GitHub	
100837854	http://www.linkedin.com/in/catalina-toba-2783452	LinkedIn URL	
100837856	http://www.linkedin.com/in/jeromewaresolutionsarchitect	LinkedIn URL	
100839432	http://www.twitter.com/wanmin	Twitter Handle	wanmin
100839432	http://www.linkedin.com/in/wanminwu	LinkedIn URL	
100839582	http://www.twitter.com/soniaarrison	Twitter Handle	soniaarrison
100839582	http://www.linkedin.com/in/sarrison	LinkedIn URL	
100839835	http://www.linkedin.com/in/cathy-chadbourne-a95a2620	LinkedIn URL	
100839836	http://www.twitter.com/asenkut	Twitter Handle	asenkut
100839836	http://www.linkedin.com/in/aydins	LinkedIn URL	
100839837	http://www.linkedin.com/in/yoweichang	LinkedIn URL	
100839932	http://www.twitter.com/artchin	Twitter Handle	artchin
100839932	http://www.linkedin.com/in/arthurchin	LinkedIn URL	
100840816	http://www.twitter.com/jianshen	Twitter Handle	jianshen
100840816	http://www.linkedin.com/in/jianshen	LinkedIn URL	
100840816	http://www.github.com/jianshen	GitHub	
100840943	http://www.linkedin.com/in/lohkatherine	LinkedIn URL	
100841344	http://www.twitter.com/richievos	Twitter Handle	richievos
100841344	http://www.linkedin.com/in/richievos	LinkedIn URL	
