VANID,External ID,External ID Type ,handle
100960474,http://www.twitter.com/barryluong,Twitter Handle,barryluong
100965681,http://www.twitter.com/sonicchange,Twitter Handle,sonicchange
100968688,http://www.twitter.com/nolanamy,Twitter Handle,nolanamy
100969202,http://www.twitter.com/adventures,Twitter Handle,adventures
100971870,http://www.twitter.com/rcadet,Twitter Handle,rcadet
100973354,http://www.twitter.com/capsityjeff,Twitter Handle,capsityjeff
100974385,http://www.twitter.com/bentonwilliams,Twitter Handle,bentonwilliams
100975023,http://www.twitter.com/janessa_link,Twitter Handle,janessa_link
100978378,http://www.twitter.com/jaminben,Twitter Handle,jaminben
100978804,http://www.twitter.com/asdfasdfasdfad1,Twitter Handle,asdfasdfasdfad1
100980570,http://www.twitter.com/luochbill,Twitter Handle,luochbill
100980572,http://www.twitter.com/louhong,Twitter Handle,louhong
100986254,http://www.twitter.com/steeveage,Twitter Handle,steeveage
100998740,http://www.twitter.com/timjurka,Twitter Handle,timjurka
101000419,http://www.twitter.com/kbattat,Twitter Handle,kbattat
101002331,http://www.twitter.com/pond3r,Twitter Handle,pond3r
101020302,http://www.twitter.com/acl2727,Twitter Handle,acl2727
101026152,http://www.twitter.com/lightup,Twitter Handle,lightup
101028345,http://www.twitter.com/mkurdziel,Twitter Handle,mkurdziel
101208472,http://www.twitter.com/davemuni,Twitter Handle,davemuni
101274372,http://www.twitter.com/samuelrbright,Twitter Handle,samuelrbright
101305538,http://www.twitter.com/david_baga,Twitter Handle,david_baga
101369527,http://www.twitter.com/roobearsusan,Twitter Handle,roobearsusan
101369918,http://www.twitter.com/treyderbes,Twitter Handle,treyderbes
101384495,http://www.twitter.com/lucasderraugh,Twitter Handle,lucasderraugh
101476261,http://www.twitter.com/srikanth9n,Twitter Handle,srikanth9n
101480408,http://www.twitter.com/saraittelson,Twitter Handle,saraittelson
101480479,http://www.twitter.com/accarmichael,Twitter Handle,accarmichael
101481233,http://www.twitter.com/mattsaincome,Twitter Handle,mattsaincome
101482485,http://www.twitter.com/emy_wng,Twitter Handle,emy_wng
101485346,http://www.twitter.com/pmizota,Twitter Handle,pmizota
101489699,http://www.twitter.com/lookagency,Twitter Handle,lookagency
101492648,http://www.twitter.com/sf_golfguy,Twitter Handle,sf_golfguy
101496987,http://www.twitter.com/meezyfit,Twitter Handle,meezyfit
101498169,http://www.twitter.com/judobaby,Twitter Handle,judobaby
101500142,http://www.twitter.com/bennydu,Twitter Handle,bennydu
101500301,http://www.twitter.com/cultureindustry,Twitter Handle,cultureindustry
101500883,http://www.twitter.com/ilawyu2,Twitter Handle,ilawyu2
101502740,http://www.twitter.com/shanelunny,Twitter Handle,shanelunny
101505476,http://www.twitter.com/magicwanglewei,Twitter Handle,magicwanglewei
101505716,http://www.twitter.com/savdevarney,Twitter Handle,savdevarney
