VANID,External ID,External ID Type 
101579358,http://www.twitter.com/boomieo,Twitter Handle
101579391,http://www.twitter.com/david_alli,Twitter Handle
101579419,http://www.twitter.com/glamspoon,Twitter Handle
101579470,http://www.twitter.com/heathkit,Twitter Handle
101579471,http://www.twitter.com/cfransway,Twitter Handle
101579541,http://www.twitter.com/zorank,Twitter Handle
101579672,http://www.twitter.com/culturalsustain,Twitter Handle
101579679,http://www.twitter.com/lhankins,Twitter Handle
101579733,http://www.twitter.com/tomthump,Twitter Handle
101579736,http://www.twitter.com/ingridful,Twitter Handle
101579789,http://www.twitter.com/howarddaniels,Twitter Handle
101579795,http://www.twitter.com/brianpjohn,Twitter Handle
101579817,http://www.twitter.com/bnordicbrad,Twitter Handle
101579844,http://www.twitter.com/kban331,Twitter Handle
101579845,http://www.twitter.com/dashdesigner,Twitter Handle
101579923,http://www.twitter.com/lcswspeaks,Twitter Handle
101580009,http://www.twitter.com/browncowe,Twitter Handle
101580055,http://www.twitter.com/kimmahan,Twitter Handle
101580059,http://www.twitter.com/addlemybrain,Twitter Handle
101580117,http://www.twitter.com/lou06211,Twitter Handle
101580174,http://www.twitter.com/bobbiedee,Twitter Handle
101580623,http://www.twitter.com/missjuicydrums,Twitter Handle
101580634,http://www.twitter.com/aparkerseattle,Twitter Handle
101580647,http://www.twitter.com/gratitudepoint,Twitter Handle
101580677,http://www.twitter.com/kareyellen,Twitter Handle
101580702,http://www.twitter.com/ericbogs,Twitter Handle
101580710,http://www.twitter.com/flashmen,Twitter Handle
101580721,http://www.twitter.com/arbelaamitrai,Twitter Handle
101580762,http://www.twitter.com/ken_worthy,Twitter Handle
101580766,http://www.twitter.com/jessie_mckenna,Twitter Handle
101580807,http://www.twitter.com/runduff747,Twitter Handle
101580841,http://www.twitter.com/aron,Twitter Handle
101580856,http://www.twitter.com/rhjorten,Twitter Handle
101580900,http://www.twitter.com/ktx08,Twitter Handle
101580943,http://www.twitter.com/rbeforei,Twitter Handle
101580947,http://www.twitter.com/lcarrollccc,Twitter Handle
101580949,http://www.twitter.com/patrickbellon,Twitter Handle
101580966,http://www.twitter.com/coasteradam,Twitter Handle
101580971,http://www.twitter.com/givealittlenow,Twitter Handle
101580974,http://www.twitter.com/bturner1009,Twitter Handle
101580998,http://www.twitter.com/jillbromen,Twitter Handle
101581146,http://www.twitter.com/bsafs,Twitter Handle
101581184,http://www.twitter.com/johnrowe14,Twitter Handle
101581218,http://www.twitter.com/garoldstone,Twitter Handle
101581220,http://www.twitter.com/bwdunn11,Twitter Handle
101581273,http://www.twitter.com/canaandavis,Twitter Handle
101581494,http://www.twitter.com/apples4abigail,Twitter Handle
101581522,http://www.twitter.com/susanhedgpeth,Twitter Handle
101581679,http://www.twitter.com/blavine,Twitter Handle
101581763,http://www.twitter.com/jeffryta,Twitter Handle
101581769,http://www.twitter.com/maryrick,Twitter Handle
101581770,http://www.twitter.com/austinbryan,Twitter Handle
101581773,http://www.twitter.com/rodandar,Twitter Handle
101581778,http://www.twitter.com/mori_kun,Twitter Handle
101581783,http://www.twitter.com/marcielow,Twitter Handle
101581805,http://www.twitter.com/tworiversreia,Twitter Handle
101581857,http://www.twitter.com/mmcharry,Twitter Handle
101581876,http://www.twitter.com/aleczopf,Twitter Handle
101581912,http://www.twitter.com/larry_murdock,Twitter Handle
101581922,http://www.twitter.com/luanndi,Twitter Handle
101581977,http://www.twitter.com/tatyakutis,Twitter Handle
101582017,http://www.twitter.com/twospruce,Twitter Handle
101582043,http://www.twitter.com/hornedbuddha,Twitter Handle
101582111,http://www.twitter.com/vikerman,Twitter Handle
101582113,http://www.twitter.com/grbradsk,Twitter Handle
101582157,http://www.twitter.com/thepshaw,Twitter Handle
101582226,http://www.twitter.com/bretlync08,Twitter Handle
101582267,http://www.twitter.com/zika_zone,Twitter Handle
101582318,http://www.twitter.com/manamaddy,Twitter Handle
101582398,http://www.twitter.com/cdsmukler,Twitter Handle
101582417,http://www.twitter.com/davidturecamo,Twitter Handle
101582422,http://www.twitter.com/gredgate,Twitter Handle
101582510,http://www.twitter.com/tatiyogi,Twitter Handle
101582523,http://www.twitter.com/petershankar,Twitter Handle
101582525,http://www.twitter.com/mbschoening,Twitter Handle
101582533,http://www.twitter.com/uiriley,Twitter Handle
101582563,http://www.twitter.com/mammothfw,Twitter Handle
101582608,http://www.twitter.com/the_jodi,Twitter Handle
101582647,http://www.twitter.com/motionry,Twitter Handle
